year,VolValPer,Credit,Debit,Credit Average,Debit Average,Lowest Value Credit,Lowest Value Debit
02/01/08,Volume,295821,504254,419550,953028,241385,284798
03/01/08,Volume,325997,558420,419550,953028,241385,284798
04/01/08,Volume,325913,533925,419550,953028,241385,284798
05/01/08,Volume,333096,528494,419550,953028,241385,284798
06/01/08,Volume,350395,553062,419550,953028,241385,284798
07/01/08,Volume,377791,582471,419550,953028,241385,284798
08/01/08,Volume,329420,564545,419550,953028,241385,284798
09/01/08,Volume,363646,596451,419550,953028,241385,284798
10/01/08,Volume,341725,602586,419550,953028,241385,284798
11/01/08,Volume,296030,527828,419550,953028,241385,284798
12/01/08,Volume,276216,540771,419550,953028,241385,284798
01/01/09,Volume,263300,531848,419550,953028,241385,284798
02/01/09,Volume,257542,513247,419550,953028,241385,284798
03/01/09,Volume,320126,615892,419550,953028,241385,284798
04/01/09,Volume,315802,618764,419550,953028,241385,284798
05/01/09,Volume,305013,565589,419550,953028,241385,284798
06/01/09,Volume,345858,621265,419550,953028,241385,284798
07/01/09,Volume,349513,612559,419550,953028,241385,284798
08/01/09,Volume,303526,579339,419550,953028,241385,284798
09/01/09,Volume,358802,677086,419550,953028,241385,284798
10/01/09,Volume,332160,673669,419550,953028,241385,284798
11/01/09,Volume,311868,656311,419550,953028,241385,284798
12/01/09,Volume,268103,624254,419550,953028,241385,284798
01/01/10,Volume,246785,604022,419550,953028,241385,284798
02/01/10,Volume,262212,632805,419550,953028,241385,284798
03/01/10,Volume,331737,806931,419550,953028,241385,284798
04/01/10,Volume,315211,764324,419550,953028,241385,284798
05/01/10,Volume,324804,750396,419550,953028,241385,284798
06/01/10,Volume,384774,880296,419550,953028,241385,284798
07/01/10,Volume,378834,834288,419550,953028,241385,284798
08/01/10,Volume,354784,856931,419550,953028,241385,284798
09/01/10,Volume,372575,892518,419550,953028,241385,284798
10/01/10,Volume,348961,886107,419550,953028,241385,284798
11/01/10,Volume,360255,951691,419550,953028,241385,284798
12/01/10,Volume,303516,798634,419550,953028,241385,284798
01/01/11,Volume,314648,866841,419550,953028,241385,284798
02/01/11,Volume,318545,833520,419550,953028,241385,284798
03/01/11,Volume,375545,934165,419550,953028,241385,284798
04/01/11,Volume,389968,910298,419550,953028,241385,284798
05/01/11,Volume,467796,1001295,419550,953028,241385,284798
06/01/11,Volume,445640,955779,419550,953028,241385,284798
07/01/11,Volume,460334,970526,419550,953028,241385,284798
08/01/11,Volume,471540,1007779,419550,953028,241385,284798
09/01/11,Volume,492329,1044311,419550,953028,241385,284798
10/01/11,Volume,481594,1133459,419550,953028,241385,284798
11/01/11,Volume,436815,1039522,419550,953028,241385,284798
12/01/11,Volume,393617,979344,419550,953028,241385,284798
01/01/12,Volume,403987,1051267,419550,953028,241385,284798
02/01/12,Volume,527092,1148258,419550,953028,241385,284798
03/01/12,Volume,488856,1139509,419550,953028,241385,284798
04/01/12,Volume,487586,1143286,419550,953028,241385,284798
05/01/12,Volume,543208,1210690,419550,953028,241385,284798
06/01/12,Volume,528804,1172375,419550,953028,241385,284798
07/01/12,Volume,575117,1303447,419550,953028,241385,284798
08/01/12,Volume,537516,1289922,419550,953028,241385,284798
09/01/12,Volume,551136,1287948,419550,953028,241385,284798
10/01/12,Volume,607272,1455581,419550,953028,241385,284798
11/01/12,Volume,559220,1333053,419550,953028,241385,284798
12/01/12,Volume,517284,1372978,419550,953028,241385,284798
01/01/13,Volume,516806,1443103,419550,953028,241385,284798
02/01/13,Volume,592210,1561339,419550,953028,241385,284798
03/01/13,Volume,612654,1677549,419550,953028,241385,284798
04/01/13,Volume,618037,1708868,419550,953028,241385,284798
05/01/13,Volume,705755,1912331,419550,953028,241385,284798
06/01/13,Volume,704617,1896390,419550,953028,241385,284798
07/01/13,Volume,772351,2079562,419550,953028,241385,284798
08/01/13,Volume,687817,1985312,419550,953028,241385,284798
09/01/13,Volume,779826,2229313,419550,953028,241385,284798
10/01/13,Volume,780117,2388162,419550,953028,241385,284798
11/01/13,Volume,747833,2473044,419550,953028,241385,284798
12/01/13,Volume,641808,2256666,419550,953028,241385,284798
01/01/14,Volume,699472,2607204,419550,953028,241385,284798
02/01/14,Volume,705467,2606014,419550,953028,241385,284798
03/01/14,Volume,797647,2983242,419550,953028,241385,284798
04/01/14,Volume,785207,2843411,419550,953028,241385,284798
05/01/14,Volume,655151,1690265,419550,953028,241385,284798
06/01/14,Volume,610088,1445150,419550,953028,241385,284798
07/01/14,Volume,615265,1409130,419550,953028,241385,284798
08/01/14,Volume,545699,1420738,419550,953028,241385,284798
09/01/14,Volume,633416,1575275,419550,953028,241385,284798
10/01/14,Volume,640292,1652047,419550,953028,241385,284798
11/01/14,Volume,588222,1597815,419550,953028,241385,284798
12/01/14,Volume,568612,1620129,419550,953028,241385,284798
01/01/15,Volume,526983,1550812,419550,953028,241385,284798
02/01/15,Volume,543959,1544190,419550,953028,241385,284798
03/01/15,Volume,630301,1762211,419550,953028,241385,284798
04/01/15,Volume,616446,1663914,419550,953028,241385,284798
01/01/05,Value,11230063,9410726,15601981,16394446,10683430,8263644
02/01/05,Value,11240463,8372236,15601981,16394446,10683430,8263644
03/01/05,Value,13604004,9700450,15601981,16394446,10683430,8263644
04/01/05,Value,13757692,10006943,15601981,16394446,10683430,8263644
05/01/05,Value,14341366,10017580,15601981,16394446,10683430,8263644
06/01/05,Value,15594528,10652475,15601981,16394446,10683430,8263644
07/01/05,Value,15100198,10225065,15601981,16394446,10683430,8263644
08/01/05,Value,14329217,10588494,15601981,16394446,10683430,8263644
09/01/05,Value,14087739,10716748,15601981,16394446,10683430,8263644
10/01/05,Value,12461511,9960954,15601981,16394446,10683430,8263644
11/01/05,Value,11784203,8734704,15601981,16394446,10683430,8263644
12/01/05,Value,10847669,8263644,15601981,16394446,10683430,8263644
01/01/06,Value,11193893,9994069,15601981,16394446,10683430,8263644
02/01/06,Value,10683430,8742490,15601981,16394446,10683430,8263644
03/01/06,Value,13534004,10566850,15601981,16394446,10683430,8263644
04/01/06,Value,12661535,10784584,15601981,16394446,10683430,8263644
05/01/06,Value,14565247,11669540,15601981,16394446,10683430,8263644
06/01/06,Value,15276949,11537635,15601981,16394446,10683430,8263644
07/01/06,Value,16023822,12734063,15601981,16394446,10683430,8263644
08/01/06,Value,15051305,13121050,15601981,16394446,10683430,8263644
09/01/06,Value,14856026,12951982,15601981,16394446,10683430,8263644
10/01/06,Value,14363487,13299161,15601981,16394446,10683430,8263644
11/01/06,Value,13086027,11335444,15601981,16394446,10683430,8263644
12/01/06,Value,11784167,10434254,15601981,16394446,10683430,8263644
01/01/07,Value,12779621,12711982,15601981,16394446,10683430,8263644
02/01/07,Value,12182334,11508021,15601981,16394446,10683430,8263644
03/01/07,Value,14898633,13181814,15601981,16394446,10683430,8263644
04/01/07,Value,14543593,13598908,15601981,16394446,10683430,8263644
05/01/07,Value,15763334,13769519,15601981,16394446,10683430,8263644
06/01/07,Value,16801889,14165859,15601981,16394446,10683430,8263644
07/01/07,Value,18960244,16239428,15601981,16394446,10683430,8263644
08/01/07,Value,16654762,16314673,15601981,16394446,10683430,8263644
09/01/07,Value,16174108,15562787,15601981,16394446,10683430,8263644
10/01/07,Value,16936585,17272457,15601981,16394446,10683430,8263644
11/01/07,Value,15437419,14557046,15601981,16394446,10683430,8263644
12/01/07,Value,13653967,13205655,15601981,16394446,10683430,8263644
01/01/08,Value,14407221,15460430,15601981,16394446,10683430,8263644
02/01/08,Value,14076765,14347533,15601981,16394446,10683430,8263644
03/01/08,Value,15855760,16276628,15601981,16394446,10683430,8263644
04/01/08,Value,16711594,16953696,15601981,16394446,10683430,8263644
05/01/08,Value,17355677,16415859,15601981,16394446,10683430,8263644
06/01/08,Value,18400394,17757065,15601981,16394446,10683430,8263644
07/01/08,Value,20598913,19614704,15601981,16394446,10683430,8263644
08/01/08,Value,17723095,18910127,15601981,16394446,10683430,8263644
09/01/08,Value,19104217,20387103,15601981,16394446,10683430,8263644
10/01/08,Value,17121076,18640445,15601981,16394446,10683430,8263644
11/01/08,Value,15588214,16950020,15601981,16394446,10683430,8263644
12/01/08,Value,14009685,15983529,15601981,16394446,10683430,8263644
01/01/09,Value,13256904,17156998,15601981,16394446,10683430,8263644
02/01/09,Value,12643516,15295994,15601981,16394446,10683430,8263644
03/01/09,Value,15930997,18829643,15601981,16394446,10683430,8263644
04/01/09,Value,15903530,18984875,15601981,16394446,10683430,8263644
05/01/09,Value,15809181,17661164,15601981,16394446,10683430,8263644
06/01/09,Value,18291740,20488656,15601981,16394446,10683430,8263644
07/01/09,Value,19725015,21276356,15601981,16394446,10683430,8263644
08/01/09,Value,16155212,19655157,15601981,16394446,10683430,8263644
09/01/09,Value,18616608,23604126,15601981,16394446,10683430,8263644
10/01/09,Value,16397250,21310243,15601981,16394446,10683430,8263644
11/01/09,Value,15290644,18652168,15601981,16394446,10683430,8263644
12/01/09,Value,13966550,17747183,15601981,16394446,10683430,8263644
01/01/10,Value,13274324,18629804,15601981,16394446,10683430,8263644
02/01/10,Value,13515136,18359780,15601981,16394446,10683430,8263644
03/01/10,Value,17528931,22839581,15601981,16394446,10683430,8263644
04/01/10,Value,17987948,22827356,15601981,16394446,10683430,8263644
05/01/10,Value,17353250,21109418,15601981,16394446,10683430,8263644
06/01/10,Value,20480690,24795002,15601981,16394446,10683430,8263644
07/01/10,Value,21336156,24982304,15601981,16394446,10683430,8263644
08/01/10,Value,19104431,26364252,15601981,16394446,10683430,8263644
09/01/10,Value,20079017,28651136,15601981,16394446,10683430,8263644
10/01/10,Value,18038102,25230451,15601981,16394446,10683430,8263644
11/01/10,Value,17362253,24025734,15601981,16394446,10683430,8263644
12/01/10,Value,15681222,20616299,15601981,16394446,10683430,8263644
01/01/11,Value,16413281,24953323,15601981,16394446,10683430,8263644
02/01/11,Value,16709805,23366080,15601981,16394446,10683430,8263644
03/01/11,Value,20068709,26900010,15601981,16394446,10683430,8263644
04/01/11,Value,21632528,28058352,15601981,16394446,10683430,8263644
01/01/05,Average Value Per Card Transaction,46.52,31.24,48.56,28.18,36.24,15.53
02/01/05,Average Value Per Card Transaction,45.78,29.40,48.56,28.18,36.24,15.53
03/01/05,Average Value Per Card Transaction,48.19,30.81,48.56,28.18,36.24,15.53
04/01/05,Average Value Per Card Transaction,50.64,33.58,48.56,28.18,36.24,15.53
05/01/05,Average Value Per Card Transaction,49.61,32.43,48.56,28.18,36.24,15.53
06/01/05,Average Value Per Card Transaction,50.43,33.84,48.56,28.18,36.24,15.53
07/01/05,Average Value Per Card Transaction,50.50,34.29,48.56,28.18,36.24,15.53
08/01/05,Average Value Per Card Transaction,47.13,31.05,48.56,28.18,36.24,15.53
09/01/05,Average Value Per Card Transaction,46.68,32.34,48.56,28.18,36.24,15.53
10/01/05,Average Value Per Card Transaction,44.00,29.40,48.56,28.18,36.24,15.53
11/01/05,Average Value Per Card Transaction,43.63,27.15,48.56,28.18,36.24,15.53
12/01/05,Average Value Per Card Transaction,43.25,26.45,48.56,28.18,36.24,15.53
01/01/06,Average Value Per Card Transaction,42.82,28.36,48.56,28.18,36.24,15.53
02/01/06,Average Value Per Card Transaction,42.97,26.74,48.56,28.18,36.24,15.53
03/01/06,Average Value Per Card Transaction,44.38,27.37,48.56,28.18,36.24,15.53
04/01/06,Average Value Per Card Transaction,47.47,30.53,48.56,28.18,36.24,15.53
05/01/06,Average Value Per Card Transaction,46.81,29.99,48.56,28.18,36.24,15.53
06/01/06,Average Value Per Card Transaction,48.64,30.31,48.56,28.18,36.24,15.53
07/01/06,Average Value Per Card Transaction,49.27,31.35,48.56,28.18,36.24,15.53
08/01/06,Average Value Per Card Transaction,47.22,30.09,48.56,28.18,36.24,15.53
09/01/06,Average Value Per Card Transaction,48.26,31.65,48.56,28.18,36.24,15.53
10/01/06,Average Value Per Card Transaction,45.21,28.25,48.56,28.18,36.24,15.53
11/01/06,Average Value Per Card Transaction,45.57,26.39,48.56,28.18,36.24,15.53
12/01/06,Average Value Per Card Transaction,46.57,26.31,48.56,28.18,36.24,15.53
01/01/07,Average Value Per Card Transaction,47.08,28.55,48.56,28.18,36.24,15.53
02/01/07,Average Value Per Card Transaction,44.67,26.38,48.56,28.18,36.24,15.53
03/01/07,Average Value Per Card Transaction,47.14,27.50,48.56,28.18,36.24,15.53
04/01/07,Average Value Per Card Transaction,47.49,28.47,48.56,28.18,36.24,15.53
05/01/07,Average Value Per Card Transaction,47.68,28.08,48.56,28.18,36.24,15.53
06/01/07,Average Value Per Card Transaction,49.76,29.44,48.56,28.18,36.24,15.53
07/01/07,Average Value Per Card Transaction,51.83,30.75,48.56,28.18,36.24,15.53
08/01/07,Average Value Per Card Transaction,49.02,30.70,48.56,28.18,36.24,15.53
09/01/07,Average Value Per Card Transaction,49.53,32.30,48.56,28.18,36.24,15.53
10/01/07,Average Value Per Card Transaction,47.17,29.68,48.56,28.18,36.24,15.53
11/01/07,Average Value Per Card Transaction,48.46,28.52,48.56,28.18,36.24,15.53
12/01/07,Average Value Per Card Transaction,47.87,26.70,48.56,28.18,36.24,15.53
01/01/08,Average Value Per Card Transaction,48.00,29.49,48.56,28.18,36.24,15.53
02/01/08,Average Value Per Card Transaction,47.59,28.45,48.56,28.18,36.24,15.53
03/01/08,Average Value Per Card Transaction,48.64,29.15,48.56,28.18,36.24,15.53
04/01/08,Average Value Per Card Transaction,51.28,31.75,48.56,28.18,36.24,15.53
05/01/08,Average Value Per Card Transaction,52.10,31.06,48.56,28.18,36.24,15.53
06/01/08,Average Value Per Card Transaction,52.51,32.11,48.56,28.18,36.24,15.53
07/01/08,Average Value Per Card Transaction,54.52,33.67,48.56,28.18,36.24,15.53
08/01/08,Average Value Per Card Transaction,53.80,33.50,48.56,28.18,36.24,15.53
09/01/08,Average Value Per Card Transaction,52.54,34.18,48.56,28.18,36.24,15.53
10/01/08,Average Value Per Card Transaction,50.10,30.93,48.56,28.18,36.24,15.53
11/01/08,Average Value Per Card Transaction,52.66,32.11,48.56,28.18,36.24,15.53
12/01/08,Average Value Per Card Transaction,50.72,29.56,48.56,28.18,36.24,15.53
01/01/09,Average Value Per Card Transaction,50.35,32.26,48.56,28.18,36.24,15.53
02/01/09,Average Value Per Card Transaction,49.09,29.80,48.56,28.18,36.24,15.53
03/01/09,Average Value Per Card Transaction,49.76,30.57,48.56,28.18,36.24,15.53
04/01/09,Average Value Per Card Transaction,50.36,30.68,48.56,28.18,36.24,15.53
05/01/09,Average Value Per Card Transaction,51.83,31.23,48.56,28.18,36.24,15.53
06/01/09,Average Value Per Card Transaction,52.89,32.98,48.56,28.18,36.24,15.53
07/01/09,Average Value Per Card Transaction,56.44,34.73,48.56,28.18,36.24,15.53
08/01/09,Average Value Per Card Transaction,53.23,33.93,48.56,28.18,36.24,15.53
09/01/09,Average Value Per Card Transaction,51.89,34.86,48.56,28.18,36.24,15.53
10/01/09,Average Value Per Card Transaction,49.37,31.63,48.56,28.18,36.24,15.53
11/01/09,Average Value Per Card Transaction,49.03,28.42,48.56,28.18,36.24,15.53
12/01/09,Average Value Per Card Transaction,52.09,28.43,48.56,28.18,36.24,15.53
01/01/10,Average Value Per Card Transaction,53.79,30.84,48.56,28.18,36.24,15.53
02/01/10,Average Value Per Card Transaction,51.54,29.01,48.56,28.18,36.24,15.53
03/01/10,Average Value Per Card Transaction,52.84,28.30,48.56,28.18,36.24,15.53
04/01/10,Average Value Per Card Transaction,57.07,29.87,48.56,28.18,36.24,15.53
05/01/10,Average Value Per Card Transaction,53.43,28.13,48.56,28.18,36.24,15.53
06/01/10,Average Value Per Card Transaction,53.23,28.17,48.56,28.18,36.24,15.53
07/01/10,Average Value Per Card Transaction,56.32,29.94,48.56,28.18,36.24,15.53
08/01/10,Average Value Per Card Transaction,53.85,30.77,48.56,28.18,36.24,15.53
09/01/10,Average Value Per Card Transaction,53.89,32.10,48.56,28.18,36.24,15.53
10/01/10,Average Value Per Card Transaction,51.69,28.47,48.56,28.18,36.24,15.53
11/01/10,Average Value Per Card Transaction,48.19,25.25,48.56,28.18,36.24,15.53
12/01/10,Average Value Per Card Transaction,51.67,25.81,48.56,28.18,36.24,15.53
01/01/11,Average Value Per Card Transaction,52.16,28.79,48.56,28.18,36.24,15.53
02/01/11,Average Value Per Card Transaction,52.46,28.03,48.56,28.18,36.24,15.53
03/01/11,Average Value Per Card Transaction,53.44,28.80,48.56,28.18,36.24,15.53
04/01/11,Average Value Per Card Transaction,55.47,30.82,48.56,28.18,36.24,15.53
05/01/11,Average Value Per Card Transaction,53.45,30.30,48.56,28.18,36.24,15.53
06/01/11,Average Value Per Card Transaction,54.75,31.65,48.56,28.18,36.24,15.53
07/01/11,Average Value Per Card Transaction,57.25,32.00,48.56,28.18,36.24,15.53
08/01/11,Average Value Per Card Transaction,54.33,32.80,48.56,28.18,36.24,15.53
09/01/11,Average Value Per Card Transaction,53.62,34.39,48.56,28.18,36.24,15.53
10/01/11,Average Value Per Card Transaction,49.42,28.94,48.56,28.18,36.24,15.53
11/01/11,Average Value Per Card Transaction,49.46,27.15,48.56,28.18,36.24,15.53
12/01/11,Average Value Per Card Transaction,50.46,26.73,48.56,28.18,36.24,15.53
01/01/12,Average Value Per Card Transaction,48.79,29.61,48.56,28.18,36.24,15.53
02/01/12,Average Value Per Card Transaction,44.56,27.16,48.56,28.18,36.24,15.53
03/01/12,Average Value Per Card Transaction,50.78,28.28,48.56,28.18,36.24,15.53
04/01/12,Average Value Per Card Transaction,51.05,30.17,48.56,28.18,36.24,15.53
05/01/12,Average Value Per Card Transaction,50.62,28.90,48.56,28.18,36.24,15.53
06/01/12,Average Value Per Card Transaction,52.07,29.20,48.56,28.18,36.24,15.53
07/01/12,Average Value Per Card Transaction,49.36,29.32,48.56,28.18,36.24,15.53
08/01/12,Average Value Per Card Transaction,50.90,29.87,48.56,28.18,36.24,15.53
09/01/12,Average Value Per Card Transaction,50.48,31.88,48.56,28.18,36.24,15.53
10/01/12,Average Value Per Card Transaction,45.31,27.43,48.56,28.18,36.24,15.53
11/01/12,Average Value Per Card Transaction,44.14,25.10,48.56,28.18,36.24,15.53
12/01/12,Average Value Per Card Transaction,43.22,24.87,48.56,28.18,36.24,15.53
01/01/13,Average Value Per Card Transaction,43.62,24.87,48.56,28.18,36.24,15.53
02/01/13,Average Value Per Card Transaction,41.15,22.38,48.56,28.18,36.24,15.53
03/01/13,Average Value Per Card Transaction,43.58,21.72,48.56,28.18,36.24,15.53
04/01/13,Average Value Per Card Transaction,43.05,22.72,48.56,28.18,36.24,15.53
05/01/13,Average Value Per Card Transaction,43.54,21.33,48.56,28.18,36.24,15.53
06/01/13,Average Value Per Card Transaction,44.12,21.06,48.56,28.18,36.24,15.53
07/01/13,Average Value Per Card Transaction,44.59,22.07,48.56,28.18,36.24,15.53
08/01/13,Average Value Per Card Transaction,44.69,22.38,48.56,28.18,36.24,15.53
09/01/13,Average Value Per Card Transaction,41.77,22.32,48.56,28.18,36.24,15.53
10/01/13,Average Value Per Card Transaction,38.50,18.84,48.56,28.18,36.24,15.53
11/01/13,Average Value Per Card Transaction,36.50,16.25,48.56,28.18,36.24,15.53
12/01/13,Average Value Per Card Transaction,37.07,15.53,48.56,28.18,36.24,15.53
01/01/14,Average Value Per Card Transaction,36.66,17.25,48.56,28.18,36.24,15.53
02/01/14,Average Value Per Card Transaction,36.24,15.72,48.56,28.18,36.24,15.53
03/01/14,Average Value Per Card Transaction,36.87,15.59,48.56,28.18,36.24,15.53
04/01/14,Average Value Per Card Transaction,38.66,16.30,48.56,28.18,36.24,15.53
05/01/14,Average Value Per Card Transaction,49.56,25.88,48.56,28.18,36.24,15.53
06/01/14,Average Value Per Card Transaction,51.98,26.78,48.56,28.18,36.24,15.53
07/01/14,Average Value Per Card Transaction,53.67,28.80,48.56,28.18,36.24,15.53
08/01/14,Average Value Per Card Transaction,55.34,28.74,48.56,28.18,36.24,15.53
09/01/14,Average Value Per Card Transaction,52.37,31.42,48.56,28.18,36.24,15.53
10/01/14,Average Value Per Card Transaction,47.46,25.14,48.56,28.18,36.24,15.53
11/01/14,Average Value Per Card Transaction,46.25,22.63,48.56,28.18,36.24,15.53
12/01/14,Average Value Per Card Transaction,44.92,21.86,48.56,28.18,36.24,15.53
01/01/15,Average Value Per Card Transaction,46.40,24.83,48.56,28.18,36.24,15.53
02/01/15,Average Value Per Card Transaction,43.96,22.82,48.56,28.18,36.24,15.53
03/01/15,Average Value Per Card Transaction,45.99,23.51,48.56,28.18,36.24,15.53
04/01/15,Average Value Per Card Transaction,47.39,25.26,48.56,28.18,36.24,15.53
